tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0033107,1.0,nm0000048,Peter Lorre,"tt0022100,tt0036613,tt0034583,tt0033870",36,3.0,nm0848172,Stranger on the Third Floor,1940,"Crime,Drama,Film-Noir",Margaret Tallichet,1914,1991,"actress,archive_footage","tt0033107,tt0030052,tt0033766,tt0030184",26,10
tt0033517,1.0,nm0001695,George Sanders,"tt0042192,tt0032976,tt0037988,tt0033873",36,3.0,nm0057412,A Date with the Falcon,1942,"Crime,Drama,Film-Noir",Wendy Barrie,1912,1978,"actress,soundtrack,archive_footage","tt0033650,tt0031890,tt0033517,tt0033013",30,6
tt0033650,1.0,nm0001695,George Sanders,"tt0042192,tt0032976,tt0037988,tt0033873",35,2.0,nm0057412,The Gay Falcon,1941,"Crime,Film-Noir,Mystery",Wendy Barrie,1912,1978,"actress,soundtrack,archive_footage","tt0033650,tt0031890,tt0033517,tt0033013",29,6
tt0034248,1.0,nm0000026,Cary Grant,"tt0053125,tt0056923,tt0034248,tt0053143",37,2.0,nm0000021,Suspicion,1941,"Film-Noir,Mystery,Thriller",Joan Fontaine,1917,2013,"actress,producer,soundtrack","tt0034248,tt0032976,tt0035751,tt0036969",24,13
tt0034717,1.0,nm0001695,George Sanders,"tt0042192,tt0032976,tt0037988,tt0033873",36,3.0,nm0709905,The Falcon's Brother,1942,"Crime,Drama,Film-Noir",Jane Randolph,1914,2009,"actress,miscellaneous,archive_footage","tt0034587,tt0040068,tt0034717,tt0035854",28,8
tt0035854,1.0,nm0007218,Tom Conway,"tt0034587,tt0036027,tt0038518,tt0035856",39,2.0,nm0384948,The Falcon Strikes Back,1943,"Crime,Drama,Film-Noir",Harriet Nelson,1909,1994,"actress,soundtrack,archive_footage","tt0044230,tt0035854,tt0027630,tt0034572",34,5
tt0035855,1.0,nm0007218,Tom Conway,"tt0034587,tt0036027,tt0038518,tt0035856",39,2.0,nm0112046,The Falcon and the Co-eds,1943,"Crime,Drama,Film-Noir",Jean Brooks,1915,1963,"actress,archive_footage","tt0036341,tt0035856,tt0035855,tt0036104",28,11
tt0035856,1.0,nm0007218,Tom Conway,"tt0034587,tt0036027,tt0038518,tt0035856",39,3.0,nm0112046,The Falcon in Danger,1943,"Crime,Film-Noir,Mystery",Jean Brooks,1915,1963,"actress,archive_footage","tt0036341,tt0035856,tt0035855,tt0036104",28,11
tt0035860,1.0,nm0002092,John Garfield,"tt0030149,tt0039204,tt0038622,tt0038854",30,2.0,nm0000058,The Fallen Sparrow,1943,"Film-Noir,Mystery",Maureen O'Hara,1920,2015,"actress,soundtrack,archive_footage","tt0045061,tt0039628,tt0055277,tt0033729",23,7
tt0036104,1.0,nm0641454,Dennis O'Keefe,"tt0037557,tt0039881,tt0036104,tt0034303",35,2.0,nm0546712,The Leopard Man,1943,"Film-Noir,Horror,Thriller",Margo,1917,1985,"actress,soundtrack,archive_footage","tt0029162,tt0151573,tt0035669,tt0031656",26,9
tt0036807,2.0,nm0107575,George Brent,"tt0031210,tt0024034,tt0031835,tt0040556",40,1.0,nm0001443,Experiment Perilous,1944,"Film-Noir,Romance,Thriller",Hedy Lamarr,1914,2000,"actress,producer,miscellaneous","tt0041838,tt0038990,tt0037769,tt0035460",30,10
tt0036809,1.0,nm0007218,Tom Conway,"tt0034587,tt0036027,tt0038518,tt0035856",40,2.0,nm0302347,The Falcon Out West,1944,"Crime,Drama,Film-Noir",Carole Gallagher,1923,1966,actress,"tt0036809,tt0040282",21,19
tt0036810,1.0,nm0007218,Tom Conway,"tt0034587,tt0036027,tt0038518,tt0035856",40,2.0,nm0354853,The Falcon in Hollywood,1944,"Crime,Drama,Film-Noir",Barbara Hale,1922,2017,"actress,soundtrack,archive_footage","tt0050051,tt0065377,tt0073043,tt0042046",22,18
tt0036811,1.0,nm0007218,Tom Conway,"tt0034587,tt0036027,tt0038518,tt0035856",40,2.0,nm0548056,The Falcon in Mexico,1944,"Crime,Film-Noir,Mystery",Mona Maris,1903,1991,"actress,soundtrack,archive_footage","tt0033517,tt0021215,tt0024466,tt0036811",41,-1
tt0037101,1.0,nm0694090,Dick Powell,"tt0037101,tt0037615,tt0044391,tt0040695",40,2.0,nm0872456,"Murder, My Sweet",1944,"Crime,Drama,Film-Noir",Claire Trevor,1910,2000,"actress,soundtrack,archive_footage","tt0040506,tt0031971,tt0037101,tt0028773",34,6
tt0037130,1.0,nm0007218,Tom Conway,"tt0034587,tt0036027,tt0038518,tt0035856",40,2.0,nm0518879,A Night of Adventure,1944,"Crime,Film-Noir,Mystery",Audrey Long,1922,2014,actress,"tt0039211,tt0037970,tt0037130,tt0039313",22,18
tt0037469,1.0,nm0000064,Edward G. Robinson,"tt0036775,tt0040506,tt0038991,tt0038057",51,2.0,nm0000910,The Woman in the Window,1944,"Crime,Drama,Film-Noir",Joan Bennett,1910,1990,"actress,soundtrack,archive_footage","tt0076786,tt0038057,tt0037469,tt0024264",34,17
tt0037559,1.0,nm0517058,John Loder,"tt0033729,tt0035140,tt0028212,tt0029081",47,3.0,nm0243454,The Brighton Strangler,1945,"Crime,Drama,Film-Noir",June Duprez,1918,1984,"actress,soundtrack,archive_footage","tt0037135,tt0037515,tt0031334,tt0033152",27,20
tt0037615,1.0,nm0694090,Dick Powell,"tt0037101,tt0037615,tt0044391,tt0040695",41,3.0,nm0154989,Cornered,1945,"Drama,Film-Noir,Thriller",Micheline Cheirel,1917,2002,actress,"tt0038958,tt0179249,tt0026564,tt0039283",28,13
tt0037690,1.0,nm0007218,Tom Conway,"tt0034587,tt0036027,tt0038518,tt0035856",41,2.0,nm0179411,The Falcon in San Francisco,1945,"Crime,Film-Noir,Mystery",Paula Corday,1920,1992,"actress,archive_footage","tt0039360,tt0037690,tt0038478,tt0045345",25,16
tt0037832,1.0,nm0706368,George Raft,"tt0053291,tt0033149,tt0023427,tt0037832",44,2.0,nm0872456,Johnny Angel,1945,"Crime,Drama,Film-Noir",Claire Trevor,1910,2000,"actress,soundtrack,archive_footage","tt0040506,tt0031971,tt0037101,tt0028773",35,9
tt0038199,1.0,nm0007218,Tom Conway,"tt0034587,tt0036027,tt0038518,tt0035856",41,2.0,nm0751946,Two O'Clock Courage,1945,"Crime,Drama,Film-Noir",Ann Rutherford,1917,2012,"actress,soundtrack,archive_footage","tt0031381,tt0031517,tt0034389,tt0035552",28,13
tt0038429,1.0,nm0002285,Pat O'Brien,"tt0053291,tt0029870,tt0039772,tt0021890",47,2.0,nm0872456,Crack-Up,1946,"Crime,Drama,Film-Noir",Claire Trevor,1910,2000,"actress,soundtrack,archive_footage","tt0040506,tt0031971,tt0037101,tt0028773",36,11
tt0038458,2.0,nm0510134,Paul Lukas,"tt0036515,tt0046672,tt0030341,tt0026187",51,1.0,nm0001333,Deadline at Dawn,1946,"Crime,Film-Noir,Mystery",Susan Hayward,1917,1975,"actress,soundtrack,archive_footage","tt0045333,tt0051758,tt0048191,tt0041672",29,22
tt0038518,1.0,nm0007218,Tom Conway,"tt0034587,tt0036027,tt0038518,tt0035856",42,2.0,nm0557555,The Falcon's Adventure,1946,"Film-Noir,Mystery",Madge Meredith,1921,2017,"actress,archive_footage","tt0038518,tt0043169,tt0051311,tt0038411",25,17
tt0038700,2.0,nm0000053,Robert Mitchum,"tt0039689,tt0048424,tt0056197,tt0050356",29,1.0,nm0206478,The Locket,1946,"Crime,Drama,Film-Noir",Laraine Day,1920,2007,"actress,soundtrack,archive_footage","tt0032484,tt0038700,tt0038164,tt0042049",26,3
tt0038782,1.0,nm0706368,George Raft,"tt0053291,tt0033149,tt0023427,tt0037832",45,2.0,nm0054609,Nocturne,1946,"Crime,Drama,Film-Noir",Lynn Bari,1919,1989,"actress,soundtrack,archive_footage","tt0036672,tt0034716,tt0029899,tt0038782",27,18
tt0038787,1.0,nm0000026,Cary Grant,"tt0053125,tt0056923,tt0034248,tt0053143",42,2.0,nm0000006,Notorious,1946,"Drama,Film-Noir,Romance",Ingrid Bergman,1915,1982,"actress,producer,soundtrack","tt0034583,tt0036855,tt0038109,tt0038787",31,11
tt0038982,1.0,nm0862937,Lawrence Tierney,"tt0105236,tt0040178,tt0110216,tt0090021",27,2.0,nm0420331,Step by Step,1946,"Crime,Drama,Film-Noir",Anne Jeffreys,1923,2017,"actress,soundtrack,archive_footage","tt0039772,tt0037642,tt0037644,tt0038478",23,4
tt0038991,1.0,nm0000080,Orson Welles,"tt0033467,tt0052311,tt0040525,tt0057427",31,3.0,nm0949835,The Stranger,1946,"Crime,Drama,Film-Noir",Loretta Young,1913,2000,"actress,producer,soundtrack","tt0038991,tt0039370,tt0024334,tt0032397",33,-2
tt0039050,2.0,nm0176747,Morgan Conway,"tt0037642,tt0038478,tt0036051,tt0032796",43,1.0,nm0335748,The Truth About Murder,1946,"Comedy,Film-Noir,Mystery",Bonita Granville,1923,1988,"producer,actress,director","tt0035140,tt0030442,tt0030491,tt0028356",23,20
tt0039211,2.0,nm0862937,Lawrence Tierney,"tt0105236,tt0040178,tt0110216,tt0090021",28,1.0,nm0872456,Born to Kill,1947,"Crime,Drama,Film-Noir",Claire Trevor,1910,2000,"actress,soundtrack,archive_footage","tt0040506,tt0031971,tt0037101,tt0028773",37,-9
tt0039286,1.0,nm0001870,Robert Young,"tt0039286,tt0046600,tt0034923,tt0033686",40,4.0,nm0002108,Crossfire,1947,"Crime,Drama,Film-Noir",Gloria Grahame,1923,1981,"actress,soundtrack,archive_footage","tt0042593,tt0045555,tt0038650,tt0044391",24,16
tt0039313,1.0,nm0110917,Steve Brodie,"tt0039689,tt0046816,tt0041179,tt0039313",28,2.0,nm0518879,Desperate,1947,"Crime,Film-Noir,Thriller",Audrey Long,1922,2014,actress,"tt0039211,tt0037970,tt0037130,tt0039313",25,3
tt0039317,1.0,nm0862937,Lawrence Tierney,"tt0105236,tt0040178,tt0110216,tt0090021",28,3.0,nm0504160,The Devil Thumbs a Ride,1947,"Crime,Drama,Film-Noir",Nan Leslie,1926,2000,"actress,stunts,soundtrack","tt0047748,tt0038996,tt0040956,tt0053742",21,7
tt0039581,1.0,nm0000020,Henry Fonda,"tt0050083,tt0082846,tt0032551,tt0051207",42,2.0,nm0000895,The Long Night,1947,"Drama,Film-Noir",Barbara Bel Geddes,1922,2005,"actress,soundtrack,archive_footage","tt0052357,tt0077000,tt0042832,tt0040221",25,17
tt0039689,1.0,nm0000053,Robert Mitchum,"tt0039689,tt0048424,tt0056197,tt0050356",30,2.0,nm0339452,Out of the Past,1947,"Crime,Drama,Film-Noir",Jane Greer,1924,2001,"actress,soundtrack,archive_footage","tt0039689,tt0041178,tt0045053,tt0040835",23,7
tt0039896,1.0,nm0001870,Robert Young,"tt0039286,tt0046600,tt0034923,tt0033686",40,2.0,nm0001333,They Won't Believe Me,1947,"Drama,Film-Noir,Romance",Susan Hayward,1917,1975,"actress,soundtrack,archive_footage","tt0045333,tt0051758,tt0048191,tt0041672",30,10
tt0040000,2.0,nm0752813,Robert Ryan,"tt0065214,tt0061578,tt0070212,tt0047849",38,1.0,nm0000910,The Woman on the Beach,1947,"Crime,Drama,Film-Noir",Joan Bennett,1910,1990,"actress,soundtrack,archive_footage","tt0076786,tt0038057,tt0037469,tt0024264",37,1
tt0040155,2.0,nm0752813,Robert Ryan,"tt0065214,tt0061578,tt0070212,tt0047849",39,1.0,nm0643353,Berlin Express,1948,"Crime,Drama,Film-Noir",Merle Oberon,1911,1979,"actress,writer,producer","tt0032145,tt0037024,tt0034274,tt0025748",37,2
tt0040178,1.0,nm0862937,Lawrence Tierney,"tt0105236,tt0040178,tt0110216,tt0090021",29,2.0,nm0485509,Bodyguard,1948,"Crime,Drama,Film-Noir",Priscilla Lane,1915,1995,"actress,soundtrack,archive_footage","tt0036613,tt0035279,tt0033409,tt0031867",33,-4
tt0040719,1.0,nm0706368,George Raft,"tt0053291,tt0033149,tt0023427,tt0037832",47,3.0,nm0561765,Race Street,1948,"Crime,Drama,Film-Noir",Marilyn Maxwell,1920,1972,"actress,soundtrack,archive_footage","tt0037373,tt0052141,tt0041239,tt0046138",28,19
tt0040872,2.0,nm0335048,Farley Granger,"tt0044079,tt0040746,tt0040872,tt0082951",23,1.0,nm0640732,They Live by Night,1948,"Crime,Film-Noir,Romance",Cathy O'Donnell,1923,1970,"actress,soundtrack,archive_footage","tt0036868,tt0052618,tt0040872,tt0039230",25,-2
tt0040934,2.0,nm0312890,Leo Genn,"tt0043949,tt0049513,tt0061075,tt0040806",43,1.0,nm0751426,The Velvet Touch,1948,"Crime,Drama,Film-Noir",Rosalind Russell,1907,1976,"actress,writer,soundtrack","tt0051383,tt0032599,tt0056048,tt0032143",41,2
